"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"04/01/2025";"2100";"";"";"";"71,0";"72,0";"68,0";"";"";"";"1009,9";"1010,0";"1009,5";"3,8";"87,0";"8,1";"139,40";"0,0"
"04/01/2025";"2200";"";"";"";"73,0";"74,0";"71,0";"";"";"";"1010,4";"1010,4";"1009,8";"4,5";"91,0";"8,2";"";"0,0"
"04/01/2025";"2300";"";"";"";"74,0";"74,0";"71,0";"";"";"";"1010,9";"1010,9";"1010,4";"4,4";"90,0";"8,2";"";"0,0"
"05/01/2025";"0000";"";"";"";"76,0";"76,0";"74,0";"";"";"";"1011,7";"1011,7";"1010,9";"3,8";"87,0";"8,4";"";"0,0"
"05/01/2025";"0100";"";"";"";"75,0";"77,0";"74,0";"";"";"";"1011,7";"1011,9";"1011,5";"4,0";"78,0";"7,7";"";"0,0"
"05/01/2025";"0200";"";"";"";"76,0";"76,0";"75,0";"";"";"";"1011,4";"1011,8";"1011,4";"3,7";"78,0";"9,3";"";"0,0"
"05/01/2025";"0300";"";"";"";"76,0";"77,0";"74,0";"";"";"";"1011,4";"1011,5";"1011,2";"3,9";"66,0";"8,7";"";"0,0"
"05/01/2025";"0400";"";"";"";"76,0";"76,0";"76,0";"";"";"";"1010,8";"1011,4";"1010,8";"4,0";"69,0";"8,2";"";"0,0"
"05/01/2025";"0500";"";"";"";"78,0";"78,0";"75,0";"";"";"";"1010,3";"1010,8";"1010,2";"4,2";"66,0";"9,0";"";"0,0"
"05/01/2025";"0600";"";"";"";"75,0";"78,0";"75,0";"";"";"";"1010,3";"1010,4";"1010,3";"4,2";"67,0";"9,0";"";"0,0"
"05/01/2025";"0700";"";"";"";"76,0";"77,0";"75,0";"";"";"";"1010,8";"1010,8";"1010,3";"2,7";"57,0";"8,5";"";"0,0"
"05/01/2025";"0800";"";"";"";"78,0";"78,0";"76,0";"";"";"";"1011,4";"1011,4";"1010,8";"2,0";"39,0";"5,7";"";"0,0"
"05/01/2025";"0900";"";"";"";"78,0";"79,0";"77,0";"";"";"";"1011,8";"1011,8";"1011,4";"2,5";"38,0";"4,4";"36,90";"0,0"
"05/01/2025";"1000";"";"";"";"76,0";"78,0";"76,0";"";"";"";"1011,9";"1012,0";"1011,8";"2,3";"36,0";"4,4";"193,90";"0,0"
"05/01/2025";"1100";"";"";"";"67,0";"76,0";"67,0";"";"";"";"1012,0";"1012,1";"1011,9";"4,0";"57,0";"6,6";"783,80";"0,0"
"05/01/2025";"1200";"";"";"";"64,0";"69,0";"64,0";"";"";"";"1011,9";"1012,3";"1011,9";"4,9";"75,0";"8,9";"2061,70";"0,0"
"05/01/2025";"1300";"";"";"";"65,0";"66,0";"61,0";"";"";"";"1011,8";"1012,0";"1011,7";"4,8";"74,0";"9,3";"2431,30";"0,0"
"05/01/2025";"1400";"";"";"";"63,0";"65,0";"59,0";"";"";"";"1011,6";"1011,8";"1011,5";"4,7";"88,0";"9,3";"2655,50";"0,0"
"05/01/2025";"1500";"";"";"";"62,0";"64,0";"58,0";"";"";"";"1011,1";"1011,6";"1011,1";"5,2";"89,0";"10,1";"2781,30";"0,0"
"05/01/2025";"1600";"";"";"";"63,0";"65,0";"61,0";"";"";"";"1010,4";"1011,1";"1010,4";"5,2";"90,0";"9,8";"2809,20";"0,0"
"05/01/2025";"1700";"";"";"";"65,0";"66,0";"63,0";"";"";"";"1009,8";"1010,4";"1009,7";"5,2";"90,0";"10,0";"2629,60";"0,0"
"05/01/2025";"1800";"";"";"";"67,0";"67,0";"63,0";"";"";"";"1009,5";"1009,8";"1009,3";"4,8";"89,0";"10,1";"2184,50";"0,0"
"05/01/2025";"1900";"";"";"";"70,0";"71,0";"66,0";"";"";"";"1009,4";"1009,5";"1009,3";"5,0";"89,0";"9,1";"1504,40";"0,0"
"05/01/2025";"2000";"";"";"";"72,0";"72,0";"70,0";"";"";"";"1009,4";"1009,5";"1009,3";"4,5";"89,0";"8,8";"745,00";"0,0"
"05/01/2025";"2100";"";"";"";"76,0";"76,0";"72,0";"";"";"";"1009,5";"1009,5";"1009,3";"4,5";"85,0";"8,5";"175,60";"0,0"
"05/01/2025";"2200";"";"";"";"75,0";"76,0";"75,0";"";"";"";"1010,1";"1010,1";"1009,4";"4,1";"85,0";"8,3";"";"0,0"
"05/01/2025";"2300";"";"";"";"76,0";"77,0";"75,0";"";"";"";"1011,4";"1011,4";"1010,0";"3,5";"83,0";"8,6";"";"0,0"
"06/01/2025";"0000";"";"";"";"75,0";"76,0";"75,0";"";"";"";"1011,8";"1011,9";"1011,4";"3,8";"80,0";"7,7";"";"0,0"
"06/01/2025";"0100";"";"";"";"75,0";"76,0";"75,0";"";"";"";"1011,7";"1011,9";"1011,7";"4,5";"78,0";"8,7";"";"0,0"
"06/01/2025";"0200";"";"";"";"77,0";"77,0";"75,0";"";"";"";"1011,6";"1011,8";"1011,6";"3,7";"78,0";"8,7";"";"0,0"
"06/01/2025";"0300";"";"";"";"76,0";"78,0";"75,0";"";"";"";"1011,0";"1011,7";"1011,0";"4,0";"76,0";"9,0";"";"0,0"
"06/01/2025";"0400";"";"";"";"77,0";"79,0";"75,0";"";"";"";"1010,7";"1011,1";"1010,7";"3,4";"77,0";"7,1";"";"0,0"
"06/01/2025";"0500";"";"";"";"77,0";"77,0";"76,0";"";"";"";"1010,4";"1010,7";"1010,4";"3,1";"85,0";"8,2";"";"0,0"
"06/01/2025";"0600";"";"";"";"77,0";"79,0";"76,0";"";"";"";"1009,7";"1010,4";"1009,7";"3,9";"85,0";"7,3";"";"0,0"
"06/01/2025";"0700";"";"";"";"77,0";"79,0";"77,0";"";"";"";"1010,2";"1010,2";"1009,7";"3,6";"72,0";"7,3";"";"0,0"
"06/01/2025";"0800";"";"";"";"76,0";"77,0";"76,0";"";"";"";"1010,5";"1010,5";"1010,1";"3,1";"78,0";"8,3";"";"0,0"
"06/01/2025";"0900";"";"";"";"75,0";"76,0";"75,0";"";"";"";"1011,4";"1011,4";"1010,5";"3,1";"86,0";"6,8";"58,70";"0,0"
"06/01/2025";"1000";"";"";"";"74,0";"76,0";"74,0";"";"";"";"1011,9";"1011,9";"1011,4";"3,6";"68,0";"6,8";"268,40";"0,0"
"06/01/2025";"1100";"";"";"";"66,0";"75,0";"66,0";"";"";"";"1012,3";"1012,4";"1011,9";"3,5";"81,0";"7,5";"985,50";"0,0"
"06/01/2025";"1200";"";"";"";"64,0";"68,0";"64,0";"";"";"";"1012,5";"1012,5";"1012,3";"3,8";"77,0";"8,2";"1879,80";"0,0"
"06/01/2025";"1300";"";"";"";"67,0";"68,0";"63,0";"";"";"";"1012,5";"1012,6";"1012,4";"4,8";"90,0";"8,6";"1801,20";"0,0"
"06/01/2025";"1400";"";"";"";"64,0";"69,0";"62,0";"";"";"";"1012,5";"1012,6";"1012,4";"4,2";"90,0";"7,5";"1707,60";"0,0"
"06/01/2025";"1500";"";"";"";"61,0";"65,0";"58,0";"";"";"";"1011,7";"1012,5";"1011,7";"4,7";"92,0";"8,5";"2632,60";"0,0"
"06/01/2025";"1600";"";"";"";"61,0";"64,0";"59,0";"";"";"";"1011,1";"1011,7";"1011,0";"4,2";"85,0";"8,9";"2651,50";"0,0"
"06/01/2025";"1700";"";"";"";"64,0";"65,0";"58,0";"";"";"";"1010,3";"1011,1";"1010,3";"5,1";"88,0";"8,7";"2613,70";"0,0"
