data,localizacao,texto
21/01/2019,"Bairro Soledade, Soledade","A Secretaria Municipal da Defesa Social e da Cidadania (Semdec) iniciou neste sábado (19), a formação do quinto Núcleo…"
16/08/2018,"Bairro Coroa Do Meio, Coroa Do Meio, Zona Sul","A urbanização da primeira etapa da orlinha do bairro Coroa do Meio, zona Sul da capital, segue adiantada e…"
23/04/2018,Aracaju,"O período de chuvas mais intensas chega a Aracaju neste primeiro semestre e, com ele, aumenta a atuação da…"
05/03/2018,Aracaju,"Devido às fortes chuvas na capital sergipana, a Prefeitura Municipal de Aracaju, por meio da Secretaria Municipal da Saúde…"
28/02/2018,Aracaju,"Aracaju amanheceu sob fortes chuvas e a Prefeitura de Aracaju deixou de prontidão vários órgãos e secretarias, a fim…"
21/06/2017,Centro,Da redação AJN1 A previsão do Centro de Meteorologia de Sergipe é que as chuvas seguem contínuas e volumosas…
30/05/2017,Aracaju,A Defesa Civil de Aracaju continua em alerta por causa da possibilidade de mais chuvas para os próximos dias na…
30/03/2017,Aracaju,"O Núcleo Integral da Defesa Civil de Aracaju está em alerta para a possibilidade de chuvas na cidade, previstas…"
25/05/2016,Grande Aracaju,"Da redação, AJN1   De segunda-feira (23) até hoje (25) pela manhã, a capital, Grande Aracaju e parte do litoral…"
25/05/2016,Aracaju,"Da redação, AJN1   As fortes chuvas que caíram na capital sergipana desde as primeiras horas da noite de ontem…"
23/05/2016,Aracaju,A Defesa Civil de Aracaju está em alerta e com equipes monitorando pontos de alagamento em vários bairros da capital.…
05/01/2016,Centro,"A Defesa Civil do Estado, com base em informações do Centro de Meteorologia de Sergipe está em alerta até o…"
27/05/2015,Aracaju,As fortes chuvas que caíram em todo o estado nos últimos dias provocaram enchentes e causaram transtornos com…
22/05/2015,Centro,"O Centro de Meteorologia de Sergipe, órgão vinculado à Secretaria de Estado do Meio Ambiente e dos Recursos Hídricos (Semarh),…"
