"﻿""data""",localizacao_bairro,descricao
Trânsito|12/07/2019,Inácio Barbosa (Roberto Fonseca),"Placas de veículos perdidas em vias alagadas podem ser recuperadas na SMTT Placas de veículos perdidas em vias alagadas podem ser recuperadas na SMTT Publicado em: 12/07/2019 Além de organizar o fluxo de veículos e orientar os condutores nesses dias chuvosos, os agentes de trânsito da Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju estão recolhendo placas de identificação de veículos que foram perdidas em pontos de alagamento de Aracaju. Mais de 150 já foram resgatadas des..."
Trânsito|12/07/2019,Atalaia (Avenida Euclides Figueiredo; Largo da Aparecida; Euclides Figueiredo e a região do Jabotiana; Santos Dumont para treinos de ciclistas profissionais e amadores; Aracaju),"Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Publicado em: 12/07/2019 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que o funcionamento da Área de Proteção para a Prática de Ciclismo (APPC), na Orla da Atalaia, será interrompida, excepcionalmente, no próximo sábado, dia 13, devido aos efeitos ..."
Trânsito|12/07/2019,Jabotiana (Avenida Euclides Figueiredo; Largo da Aparecida; Euclides Figueiredo e a região do Jabotiana; Santos Dumont para treinos de ciclistas profissionais e amadores; Aracaju),"Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Publicado em: 12/07/2019 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que o funcionamento da Área de Proteção para a Prática de Ciclismo (APPC), na Orla da Atalaia, será interrompida, excepcionalmente, no próximo sábado, dia 13, devido aos efeitos ..."
Trânsito|12/07/2019,Santos Dumont (Avenida Euclides Figueiredo; Largo da Aparecida; Euclides Figueiredo e a região do Jabotiana; Santos Dumont para treinos de ciclistas profissionais e amadores; Aracaju),"Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Publicado em: 12/07/2019 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que o funcionamento da Área de Proteção para a Prática de Ciclismo (APPC), na Orla da Atalaia, será interrompida, excepcionalmente, no próximo sábado, dia 13, devido aos efeitos ..."
Trânsito|12/07/2019,Sol Nascente (Avenida Euclides Figueiredo; Largo da Aparecida; Euclides Figueiredo e a região do Jabotiana; Santos Dumont para treinos de ciclistas profissionais e amadores; Aracaju),"Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Publicado em: 12/07/2019 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que o funcionamento da Área de Proteção para a Prática de Ciclismo (APPC), na Orla da Atalaia, será interrompida, excepcionalmente, no próximo sábado, dia 13, devido aos efeitos ..."
Trânsito|12/07/2019,Santa Lúcia (Avenida Euclides Figueiredo; Largo da Aparecida; Euclides Figueiredo e a região do Jabotiana; Santos Dumont para treinos de ciclistas profissionais e amadores; Aracaju),"Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Devido aos efeitos da chuva, Área de Proteção ao Ciclista será interrompida, excepcionalmente, neste sábado Publicado em: 12/07/2019 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que o funcionamento da Área de Proteção para a Prática de Ciclismo (APPC), na Orla da Atalaia, será interrompida, excepcionalmente, no próximo sábado, dia 13, devido aos efeitos ..."
Trânsito|11/07/2019,Jabotiana (Avenida Euclides Figueiredo; Euclides Figueiredo),SMTT trabalha para garantir mobilidade da população em regiões de Aracaju afetadas pelas chuvas SMTT trabalha para garantir mobilidade da população em regiões de Aracaju afetadas pelas chuvas Publicado em: 11/07/2019 A chuva acima da média em Aracaju demanda um esquema de trabalho especial do poder público para minimizar os transtornos em áreas vulneráveis. A Prefeitura Municipal de Aracaju (PMA) não tem poupado esforços neste sentido e a Superintendência Municipal de Transportes e Trânsito (SMT...
Trânsito|11/07/2019,Santa Lúcia (Avenida Euclides Figueiredo; Euclides Figueiredo),SMTT trabalha para garantir mobilidade da população em regiões de Aracaju afetadas pelas chuvas SMTT trabalha para garantir mobilidade da população em regiões de Aracaju afetadas pelas chuvas Publicado em: 11/07/2019 A chuva acima da média em Aracaju demanda um esquema de trabalho especial do poder público para minimizar os transtornos em áreas vulneráveis. A Prefeitura Municipal de Aracaju (PMA) não tem poupado esforços neste sentido e a Superintendência Municipal de Transportes e Trânsito (SMT...
Trânsito|07/06/2019,Aracaju (bairro não especificado),"SMTT atua para amenizar transtornos no trânsito de Aracaju após fortes chuvas SMTT atua para amenizar transtornos no trânsito de Aracaju após fortes chuvas Publicado em: 07/06/2019 Aracaju registrou chuvas acima da média, cerca de 150 milímetros de chuva, nesta sexta-feira, 7. Desde as primeiras horas do dia, a Prefeitura Municipal de Aracaju trabalhou em diversos pontos da cidade para amenizar os transtornos para a população durante o período chuvoso e o trabalho da Superintendência Municipal d..."
Trânsito|07/05/2025,Grageru,"SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto Publicado em: 07/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que as vias localizadas na parte inferior do elevado das avenidas Francisco Porto, Gonçalo Rollemberg Leite e Hermes Fontes foram totalmente liberadas para o tráfego de veículos no fim da tarde desta terça-feir..."
Trânsito|07/05/2025,Luzia,"SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto Publicado em: 07/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que as vias localizadas na parte inferior do elevado das avenidas Francisco Porto, Gonçalo Rollemberg Leite e Hermes Fontes foram totalmente liberadas para o tráfego de veículos no fim da tarde desta terça-feir..."
Trânsito|07/05/2025,Suíssa,"SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto SMTT de Aracaju: Vias são liberadas após conclusão de reparos no elevado da Francisco Porto Publicado em: 07/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju informa que as vias localizadas na parte inferior do elevado das avenidas Francisco Porto, Gonçalo Rollemberg Leite e Hermes Fontes foram totalmente liberadas para o tráfego de veículos no fim da tarde desta terça-feir..."
Trânsito|02/03/2020,Inácio Barbosa (Roberto Fonseca; veículo também precisa arcar com R),"Placas de identificação perdidas em Aracaju podem ser resgatadas na SMTT Placas de identificação perdidas em Aracaju podem ser resgatadas na SMTT Publicado em: 02/03/2020 A capital sergipana registrou fortes chuvas no último sábado, dia 29 de fevereiro. Por conta disso, agentes da Superintendência Municipal de Transportes e Trânsito (SMTT) encontraram diversas placas de identificação de veículos perdidas em vias da cidade. Mais de 20 placas foram achadas e podem ser resgatadas na sede do órgão. ..."
Transporte|04/11/2013,Capucho (Gentil Tavares; municipal de Infraestrutura; avenida Gentil Tavares),"PMA mobiliza equipes para minimizar efeitos das chuvas PMA mobiliza equipes para minimizar efeitos das chuvas Publicado em: 04/11/2013 Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaju, por meio da Empresa Municipal de Obras e Urbanização (Emurb), intensificou as ações de e desobstrução da rede de drenagem a fim de facilitar o escoamento das águas pluviais. Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaj..."
Transporte|04/11/2013,Coroa do Meio (Gentil Tavares; municipal de Infraestrutura; avenida Gentil Tavares),"PMA mobiliza equipes para minimizar efeitos das chuvas PMA mobiliza equipes para minimizar efeitos das chuvas Publicado em: 04/11/2013 Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaju, por meio da Empresa Municipal de Obras e Urbanização (Emurb), intensificou as ações de e desobstrução da rede de drenagem a fim de facilitar o escoamento das águas pluviais. Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaj..."
Transporte|04/11/2013,Inácio Barbosa (Gentil Tavares; municipal de Infraestrutura; avenida Gentil Tavares),"PMA mobiliza equipes para minimizar efeitos das chuvas PMA mobiliza equipes para minimizar efeitos das chuvas Publicado em: 04/11/2013 Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaju, por meio da Empresa Municipal de Obras e Urbanização (Emurb), intensificou as ações de e desobstrução da rede de drenagem a fim de facilitar o escoamento das águas pluviais. Em virtude da forte chuva que atingiu a capital sergipana na madrugada, a Prefeitura de Aracaj..."
